Class,Female,Male,Total,Prop_Female,Prop_Male
1ère A,22,3,25,0.88,0.12
1ère D,16,10,26,0.6153846153846154,0.3846153846153846
2nde A,18,6,24,0.75,0.25
2nde C,14,14,28,0.5,0.5
3e A,31,21,52,0.5961538461538461,0.40384615384615385
3e B,11,22,33,0.3333333333333333,0.6666666666666667
4e A,33,8,41,0.8048780487804879,0.19512195121951215
4e B,20,18,38,0.5263157894736842,0.4736842105263158
5e A,21,20,41,0.5121951219512195,0.4878048780487805
5e B,28,17,45,0.6222222222222222,0.37777777777777777
5e C,24,14,38,0.631578947368421,0.368421052631579
6e A,41,44,85,0.4823529411764706,0.5176470588235293
6e B,18,21,39,0.46153846153846156,0.5384615384615384
6e C,20,29,49,0.40816326530612246,0.5918367346938775
Tle A,11,3,14,0.7857142857142857,0.2142857142857143
Tle D,9,10,19,0.47368421052631576,0.5263157894736843
